*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=splittingTheFlap_Mega2560Shield_PCB1_11126280
*Date=10:58:12
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;76.7174;-24.2284;0;Bottom;TXT4
2;;;24.231;-72.1356;0;Bottom;TXT4
3;;;7.43166;-39.7508;0;Bottom;Via25
4;;;76.3715;-9.9762;0;Bottom;TXT4
5;;;24.4426;-10.2584;0;Bottom;TXT4
6;;;25.0459;-49.6679;0;Bottom;TXT4
7;;;52.7489;-97.6392;0;Bottom;Via23
8;;rj45-8;61.7124;-91.8677;90;Bottom;U28
9;;rj45-8;61.7124;-46.336;90;Bottom;U20
10;;;24.5132;-76.0868;0;Bottom;TXT4
11;;;98.1193;-28.4148;0;Bottom;Via54
12;;;58.6081;-9.41194;0;Bottom;Via34
13;;;24.7637;-43.459;0;Bottom;TXT4
14;;;29.8322;-138.975;0;Bottom;Via12
15;220;THT;90.6873;-23.2407;0;Bottom;R2
16;;;34.9125;-89.9627;0;Bottom;Via19
17;;;38.7582;-130.485;0;Bottom;Hole5
18;;;89.2763;-97.4652;0;Bottom;TXT4
19;;;17.4506;-26.9096;0;Bottom;TXT4
20;;;98.1459;-145.93;90;Bottom;TXT1
21;;rj45-8;61.5242;-138.34;90;Bottom;U31
22;;;79.5699;-140.927;0;Bottom;TXT4
23;;;6.49101;-58.8948;0;Bottom;Via31
24;;;76.4352;-44.8306;0;Bottom;TXT4
25;;;74.8828;-50.2399;0;Bottom;Via10
26;;;45.5317;-38.7629;-90;Bottom;IMG2
27;;;92.4508;-16.4675;0;Bottom;Via55
28;;;4.49203;-59.0593;0;Bottom;Via27
29;;;89.8408;-93.42;0;Bottom;TXT4
30;;;24.9296;-6.02509;0;Bottom;TXT4
31;;;48.0716;-17.5962;0;Bottom;Hole3
32;;;89.8408;-91.4444;0;Bottom;TXT4
33;;;38.4761;-96.9007;0;Bottom;Via63
34;;;76.2304;-28.4618;0;Bottom;TXT4
35;;;24.2239;-139.023;0;Bottom;Via14
36;;;80.057;-121.642;0;Bottom;TXT4
37;;;24.3444;-138.74;0;Bottom;TXT4
38;;;88.9938;-64.1632;0;Bottom;Hole4
39;;;58.2317;-74.605;0;Bottom;Via6
40;;;25.0459;-142.801;0;Bottom;TXT4
41;;;24.902;-121.101;0;Bottom;TXT4
42;;;80.057;-119.667;0;Bottom;TXT4
43;;;17.4506;-8.00074;0;Bottom;TXT4
44;;;25.0459;-31.4646;0;Bottom;TXT4
45;;;76.8585;-5.74287;0;Bottom;TXT4
46;;;24.9296;-8.28287;0;Bottom;TXT4
47;;;79.5699;-123.618;0;Bottom;TXT4
48;;;76.6467;-46.8064;0;Bottom;Via42
49;;;24.231;-74.1112;0;Bottom;TXT4
50;;;89.8408;-70.7482;0;Bottom;TXT4
51;;;36.8872;-87.4227;0;Bottom;Via20
52;;;54.4688;-72.0416;0;Bottom;Via30
53;;power_jack_pth;91.8778;-142.8;180;Bottom;J244
54;;;24.902;-119.126;0;Bottom;TXT4
55;;;89.7647;-32.7375;0;Bottom;TXT3
56;;;80.0792;-142.801;0;Bottom;TXT4
57;;;89.0644;-52.8742;0;Bottom;Via40
